molecule,FRET_before,FRET_after,Time,number_of_frames,treatment,repeat,transition_type,shift,is_in_sequence,CumulativeTime,CumulativeTime(s),transition_name
001_02_Misfolded_1.0,0.356639,0.657089,45,167,02_Misfolded,1.0,low-high,high-low,False,45,9.0,$T_{low-high}$
001_02_Misfolded_1.0,0.657089,0.356639,30,167,02_Misfolded,1.0,high-low,low-high,False,30,6.0,$T_{high-low}$
001_02_Misfolded_1.0,0.356639,0.657089,47,167,02_Misfolded,1.0,low-high,high-low,False,47,9.4,$T_{low-high}$
001_02_Misfolded_1.0,0.657089,0.356639,7,167,02_Misfolded,1.0,high-low,low-high,False,7,1.4,$T_{high-low}$
006_02_Misfolded_1.0,0.773302,0.497372,68,751,02_Misfolded,1.0,high-low,high-high,False,655,131.0,$T_{high-low}$
006_02_Misfolded_1.0,0.497372,0.616968,9,751,02_Misfolded,1.0,low-high,high-low,False,9,1.8,$T_{low-high}$
010_02_Misfolded_1.0,0.759031,0.42255,76,217,02_Misfolded,1.0,high-low,high-high,False,102,20.4,$T_{high-low}$
019_02_Misfolded_1.0,0.7605,0.469288,21,389,02_Misfolded,1.0,high-low,,False,21,4.2,$T_{high-low}$
019_02_Misfolded_1.0,0.469288,0.7605,9,389,02_Misfolded,1.0,low-high,high-low,False,9,1.8,$T_{low-high}$
019_02_Misfolded_1.0,0.7605,0.319649,24,389,02_Misfolded,1.0,high-low,low-high,False,24,4.800000000000001,$T_{high-low}$
022_02_Misfolded_1.0,0.374304,0.680196,72,83,02_Misfolded,1.0,low-high,,False,72,14.4,$T_{low-high}$
026_02_Misfolded_1.0,0.496787,0.693685,175,423,02_Misfolded,1.0,low-high,,False,175,35.0,$T_{low-high}$
026_02_Misfolded_1.0,0.693685,0.496787,13,423,02_Misfolded,1.0,high-low,low-high,False,13,2.6,$T_{high-low}$
026_02_Misfolded_1.0,0.496787,0.693685,79,423,02_Misfolded,1.0,low-high,high-low,False,79,15.8,$T_{low-high}$
026_02_Misfolded_1.0,0.693685,0.496787,111,423,02_Misfolded,1.0,high-low,low-high,False,111,22.200000000000003,$T_{high-low}$
033_02_Misfolded_1.0,0.568289,0.34686,12,258,02_Misfolded,1.0,high-low,,False,12,2.4000000000000004,$T_{high-low}$
033_02_Misfolded_1.0,0.34686,0.568289,15,258,02_Misfolded,1.0,low-high,high-low,False,15,3.0,$T_{low-high}$
040_02_Misfolded_1.0,0.799225,0.211282,19,26,02_Misfolded,1.0,high-low,,False,19,3.8,$T_{high-low}$
057_02_Misfolded_1.0,0.493005,0.642002,11,270,02_Misfolded,1.0,low-high,,False,11,2.2,$T_{low-high}$
057_02_Misfolded_1.0,0.642002,0.493005,83,270,02_Misfolded,1.0,high-low,low-high,False,83,16.6,$T_{high-low}$
057_02_Misfolded_1.0,0.493005,0.642002,13,270,02_Misfolded,1.0,low-high,high-low,False,13,2.6,$T_{low-high}$
057_02_Misfolded_1.0,0.642002,0.493005,105,270,02_Misfolded,1.0,high-low,low-high,False,105,21.0,$T_{high-low}$
057_02_Misfolded_1.0,0.493005,0.642002,33,270,02_Misfolded,1.0,low-high,high-low,False,33,6.6000000000000005,$T_{low-high}$
059_02_Misfolded_1.0,0.560477,0.370572,42,692,02_Misfolded,1.0,high-low,high-high,False,365,73.0,$T_{high-low}$
062_02_Misfolded_1.0,0.824458,0.478134,15,89,02_Misfolded,1.0,high-low,,False,15,3.0,$T_{high-low}$
062_02_Misfolded_1.0,0.478134,0.824458,7,89,02_Misfolded,1.0,low-high,high-low,False,7,1.4,$T_{low-high}$
062_02_Misfolded_1.0,0.824458,0.478134,59,89,02_Misfolded,1.0,high-low,low-high,False,59,11.8,$T_{high-low}$
070_02_Misfolded_1.0,0.378027,0.695464,6,416,02_Misfolded,1.0,low-high,,False,6,1.2000000000000002,$T_{low-high}$
070_02_Misfolded_1.0,0.591912,0.378027,60,416,02_Misfolded,1.0,high-low,high-high,False,266,53.2,$T_{high-low}$
070_02_Misfolded_1.0,0.378027,0.695464,21,416,02_Misfolded,1.0,low-high,high-low,False,21,4.2,$T_{low-high}$
104_02_Misfolded_1.0,0.422985,0.722361,3,623,02_Misfolded,1.0,low-high,,False,3,0.6000000000000001,$T_{low-high}$
104_02_Misfolded_1.0,0.598921,0.422985,35,623,02_Misfolded,1.0,high-low,high-high,False,35,7.0,$T_{high-low}$
104_02_Misfolded_1.0,0.422985,0.598921,62,623,02_Misfolded,1.0,low-high,high-low,False,62,12.4,$T_{low-high}$
126_02_Misfolded_1.0,0.672153,0.464806,57,238,02_Misfolded,1.0,high-low,,False,57,11.4,$T_{high-low}$
129_02_Misfolded_1.0,0.87971,0.324891,22,26,02_Misfolded,1.0,high-low,,False,22,4.4,$T_{high-low}$
153_02_Misfolded_1.0,0.665511,0.470381,31,381,02_Misfolded,1.0,high-low,high-high,False,145,29.0,$T_{high-low}$
153_02_Misfolded_1.0,0.470381,0.665511,34,381,02_Misfolded,1.0,low-high,high-low,False,34,6.800000000000001,$T_{low-high}$
153_02_Misfolded_1.0,0.665511,0.470381,7,381,02_Misfolded,1.0,high-low,high-high,False,64,12.8,$T_{high-low}$
153_02_Misfolded_1.0,0.470381,0.665511,17,381,02_Misfolded,1.0,low-high,high-low,False,17,3.4000000000000004,$T_{low-high}$
153_02_Misfolded_1.0,0.665511,0.470381,33,381,02_Misfolded,1.0,high-low,low-high,False,33,6.6000000000000005,$T_{high-low}$
153_02_Misfolded_1.0,0.470381,0.665511,6,381,02_Misfolded,1.0,low-high,high-low,False,6,1.2000000000000002,$T_{low-high}$
