Molecule,FRET_after,FRET_before,Total Molecule Lifetime (min),treatment,FRET_after_normalised,FRET_before_normalised,bind_and_release,bind_and_release_overtime
299_04_A8B1_1.0,2.0,2.0,1.43,04_A8B1,1.3986013986013988,1.3986013986013988,2.0,1.3986013986013988
307_04_A8B1_1.0,1.0,0.0,2.183333333333333,04_A8B1,0.45801526717557256,0.0,0.0,
318_04_A8B1_1.0,1.0,0.0,0.5433333333333333,04_A8B1,1.8404907975460123,0.0,0.0,
327_04_A8B1_1.0,1.0,1.0,0.30333333333333334,04_A8B1,3.2967032967032965,3.2967032967032965,1.0,3.2967032967032965
336_04_A8B1_1.0,2.0,2.0,0.9366666666666668,04_A8B1,2.1352313167259784,2.1352313167259784,2.0,2.1352313167259784
342_04_A8B1_1.0,2.0,2.0,1.15,04_A8B1,1.7391304347826089,1.7391304347826089,2.0,1.7391304347826089
347_04_A8B1_1.0,1.0,1.0,0.6333333333333333,04_A8B1,1.5789473684210527,1.5789473684210527,1.0,1.5789473684210527
353_04_A8B1_1.0,1.0,1.0,2.9200000000000004,04_A8B1,0.3424657534246575,0.3424657534246575,1.0,0.3424657534246575
354_04_A8B1_1.0,1.0,1.0,1.7,04_A8B1,0.5882352941176471,0.5882352941176471,1.0,0.5882352941176471
355_04_A8B1_1.0,9.0,8.0,3.74,04_A8B1,2.406417112299465,2.13903743315508,8.0,2.13903743315508
356_04_A8B1_1.0,2.0,2.0,2.3366666666666664,04_A8B1,0.855920114122682,0.855920114122682,2.0,0.855920114122682
357_04_A8B1_1.0,1.0,1.0,5.919999999999998,04_A8B1,0.16891891891891897,0.16891891891891897,1.0,0.16891891891891897
358_04_A8B1_1.0,1.0,0.0,0.38999999999999996,04_A8B1,2.5641025641025643,0.0,0.0,
363_04_A8B1_1.0,7.0,6.0,3.9466666666666685,04_A8B1,1.7736486486486478,1.5202702702702695,6.0,1.5202702702702695
366_04_A8B1_1.0,1.0,1.0,1.59,04_A8B1,0.6289308176100629,0.6289308176100629,1.0,0.6289308176100629
367_04_A8B1_1.0,3.0,4.0,2.670000000000001,04_A8B1,1.1235955056179772,1.4981273408239695,3.0,1.1235955056179772
369_04_A8B1_1.0,3.0,2.0,3.7433333333333367,04_A8B1,0.8014247551202129,0.534283170080142,2.0,0.534283170080142
374_04_A8B1_1.0,1.0,1.0,4.920000000000001,04_A8B1,0.20325203252032517,0.20325203252032517,1.0,0.20325203252032517
377_04_A8B1_1.0,4.0,5.0,5.516666666666673,04_A8B1,0.7250755287009055,0.9063444108761319,4.0,0.7250755287009055
384_04_A8B1_1.0,2.0,2.0,4.503333333333333,04_A8B1,0.4441154700222058,0.4441154700222058,2.0,0.4441154700222058
389_04_A8B1_1.0,1.0,1.0,1.2566666666666668,04_A8B1,0.7957559681697611,0.7957559681697611,1.0,0.7957559681697611
392_04_A8B1_1.0,3.0,3.0,5.920000000000001,04_A8B1,0.5067567567567567,0.5067567567567567,3.0,0.5067567567567567
403_04_A8B1_1.0,5.0,6.0,4.003333333333332,04_A8B1,1.2489592006661119,1.4987510407993343,5.0,1.2489592006661119
413_04_A8B1_1.0,1.0,2.0,5.6366666666666685,04_A8B1,0.1774098166765227,0.3548196333530454,1.0,0.1774098166765227
420_04_A8B1_1.0,3.0,4.0,1.5866666666666664,04_A8B1,1.8907563025210086,2.521008403361345,3.0,1.8907563025210086
443_04_A8B1_1.0,1.0,0.0,1.54,04_A8B1,0.6493506493506493,0.0,0.0,
447_04_A8B1_1.0,2.0,2.0,4.6866666666666665,04_A8B1,0.4267425320056899,0.4267425320056899,2.0,0.4267425320056899
449_04_A8B1_1.0,2.0,3.0,2.3033333333333332,04_A8B1,0.8683068017366137,1.3024602026049206,2.0,0.8683068017366137
450_04_A8B1_1.0,2.0,0.0,2.5399999999999996,04_A8B1,0.7874015748031498,0.0,0.0,
451_04_A8B1_1.0,1.0,1.0,1.633333333333333,04_A8B1,0.6122448979591838,0.6122448979591838,1.0,0.6122448979591838
