frames,donor,acceptor,FRET,idealized FRET,molecule_number,treatment_name,repeat,unique_id,dwell_steady_state,dwell,frame_length,transition_point,transition_dwell,FRET_before,FRET_after,consec
183,2239.481,10645.835,0.826199,0.929983,21,03_A8A2,1.0,021_03_A8A2_1.0,2,11,285,True,182.0,0.047261,0.929983,False
366,2904.934,9133.515,0.758695,0.856097,24,03_A8A2,1.0,024_03_A8A2_1.0,2,10,375,True,365.0,0.069699,0.856097,False
232,6863.903,5474.061,0.443676,0.62294,26,03_A8A2,1.0,026_03_A8A2_1.0,3,19,250,True,197.0,0.252272,0.62294,False
395,5091.685,1730.955,0.253707,0.515241,28,03_A8A2,2.0,028_03_A8A2_2.0,2,47,615,True,394.0,0.038976,0.515241,False
586,5300.648,2452.885,0.316357,0.515241,28,03_A8A2,2.0,028_03_A8A2_2.0,4,30,615,True,144.0,0.038976,0.515241,False
1456,6129.217,6477.725,0.513822,0.578911,29,03_A8A2,1.0,029_03_A8A2_1.0,2,5,1460,True,1455.0,0.068436,0.578911,False
199,1632.547,13807.667,0.894267,0.900416,30,03_A8A2,1.0,030_03_A8A2_1.0,2,93,500,True,198.0,0.074435,0.900416,False
733,4558.123,5491.729,0.546449,0.592333,31,03_A8A2,1.0,031_03_A8A2_1.0,2,8,740,True,732.0,0.064272,0.592333,False
170,1140.923,6212.514,0.844845,0.687561,32,03_A8A2,2.0,032_03_A8A2_2.0,2,6,575,True,169.0,0.027447,0.687561,False
258,239.772,3557.591,0.936858,0.966732,32,03_A8A2,2.0,032_03_A8A2_2.0,4,1,575,True,82.0,0.027447,0.966732,False
878,1736.391,12083.603,0.874357,0.841247,35,03_A8A2,1.0,035_03_A8A2_1.0,4,18,895,True,373.0,0.047643,0.841247,False
140,5810.996,6748.548,0.537324,0.865811,35,03_A8A2,2.0,035_03_A8A2_2.0,2,4,580,True,139.0,0.17785,0.865811,False
545,1025.31,10247.629,0.909047,0.865811,35,03_A8A2,2.0,035_03_A8A2_2.0,4,15,580,True,401.0,0.17785,0.865811,False
352,6410.353,7750.788,0.547328,0.564361,36,03_A8A2,1.0,036_03_A8A2_1.0,7,49,400,True,60.0,0.286151,0.564361,False
286,2372.659,2603.947,0.523238,0.794596,36,03_A8A2,2.0,036_03_A8A2_2.0,2,7,424,True,284.0,0.024674,0.794596,False
401,1088.027,3921.541,0.78281,0.794596,36,03_A8A2,2.0,036_03_A8A2_2.0,8,25,424,True,86.0,0.024674,0.794596,False
1153,3677.844,11654.067,0.760118,0.853756,37,03_A8A2,1.0,037_03_A8A2_1.0,2,13,1165,True,1152.0,0.145198,0.853756,False
115,9044.668,5222.571,0.366053,0.631744,39,03_A8A2,1.0,039_03_A8A2_1.0,2,6,120,True,114.0,0.085543,0.631744,False
259,2814.171,5123.459,0.645465,0.606334,40,03_A8A2,2.0,040_03_A8A2_2.0,2,217,475,True,258.0,0.304275,0.606334,False
624,11703.164,2083.363,0.151116,0.507916,42,03_A8A2,2.0,042_03_A8A2_2.0,2,6,1025,True,623.0,-0.01027,0.507916,False
974,5166.499,10415.85,0.668439,0.507916,42,03_A8A2,2.0,042_03_A8A2_2.0,4,15,1025,True,344.0,-0.01027,0.507916,False
735,657.569,6826.117,0.912133,0.983338,43,03_A8A2,2.0,043_03_A8A2_2.0,3,1,735,True,728.0,0.122994,0.983338,False
618,425.43,10812.966,0.962145,0.973904,44,03_A8A2,1.0,044_03_A8A2_1.0,2,8,625,True,617.0,0.051824,0.973904,False
741,4944.027,3063.997,0.382616,0.545694,47,03_A8A2,2.0,047_03_A8A2_2.0,2,1,980,True,740.0,0.04001,0.545694,False
961,8276.308,2073.485,0.200341,0.545694,47,03_A8A2,2.0,047_03_A8A2_2.0,4,20,980,True,219.0,0.04001,0.545694,False
334,4790.666,8014.349,0.625876,0.643952,48,03_A8A2,1.0,048_03_A8A2_1.0,3,30,365,True,118.0,0.346469,0.643952,False
1048,5114.906,4249.442,0.453789,0.524638,50,03_A8A2,2.0,050_03_A8A2_2.0,19,10,1105,True,54.0,0.351258,0.524638,False
1300,4172.245,4793.733,0.534658,0.517292,51,03_A8A2,1.0,051_03_A8A2_1.0,2,16,1315,True,1299.0,0.086476,0.517292,False
107,1861.383,13892.976,0.88185,0.917214,51,03_A8A2,2.0,051_03_A8A2_2.0,2,9,115,True,106.0,0.065498,0.917214,False
70,886.308,11638.942,0.929238,1.119492,52,03_A8A2,2.0,052_03_A8A2_2.0,2,1,85,True,69.0,0.096857,1.119492,False
1365,960.453,6206.018,0.86598,1.00065,53,03_A8A2,1.0,053_03_A8A2_1.0,2,16,1380,True,1364.0,0.063216,1.00065,False
1257,1366.437,11031.342,0.889784,0.87082,53,03_A8A2,2.0,053_03_A8A2_2.0,2,24,1730,True,1256.0,0.042589,0.87082,False
216,10122.51,13309.556,0.568006,0.505856,54,03_A8A2,2.0,054_03_A8A2_2.0,3,25,365,True,207.0,0.188082,0.505856,False
